,sentence,with_sentence,without_sentence,difference,label
0,"There was once upon a time an old goat who had seven little kids, and loved them with all the love of a mother for her children.",2.5724402225378786,2.672243923611111,0.09980370107323244,0
1,One day she wanted to go into the forest and fetch some food.,2.7207664114529972,2.744943837650487,0.024177426197489638,0
2,"So she called all seven to her and said: ‘Dear children, I have to go into the forest, be on your guard against the wolf; if he comes in, he will devour you all--skin, hair, and everything.The wretch often disguises himself, but you will know him at once by his rough voice and his black feet.’",2.2581664722935164,2.469007056684702,0.2108405843911858,1
3,"The kids said: ‘Dear mother, we will take good care of ourselves; you may go away without any anxiety.’",2.6022680832242036,2.6300886922807836,0.027820609056580015,0
4,"Then the old one bleated, and went on her way with an easy mind.",2.684729927604773,2.703198327451979,0.01846839984720594,0
5,"It was not long before someone knocked at the house-door and called: ‘Open the door, dear children; your mother is here, and has brought something back with her for each of you.’",2.5798171984449314,2.610098158060962,0.0302809596160305,1
6,"But the little kids knew that it was the wolf, by the rough voice.",2.773746375212319,2.7840868416016673,0.010340466389348268,0
7,"‘We will not open the door,’ cried they, ‘you are not our mother. She has a soft, pleasant voice, but your voice is rough; you are the wolf!’",2.6556342353463327,2.679650588846271,0.024016353499938248,1
8,"Then the wolf went away to a shopkeeper and bought himself a great lump of chalk, ate this and made his voice soft with it.",2.7581532866379312,2.7774016515505267,0.019248364912595406,1
9,"Then he came back, knocked at the door of the house, and called: ‘Open the door, dear children, your mother is here and has brought something back with her for each of you.’",2.756978810327293,2.780144559420072,0.02316574909277902,0
10,"But the wolf had laid his black paws against the window, and the children saw them and cried: ‘We will not open the door, our mother has not black feet like you: you are the wolf!’",2.802863703263006,2.83369430241769,0.030830599154684002,1
11,"Then the wolf ran to a baker and said: ‘I have hurt my feet, rub some dough over them for me.’",2.938439396867089,2.9524854504481386,0.014046053581049378,0
12,"And when the baker had rubbed his feet over, he ran to the miller and said: ‘Strew some white meal over my feet for me.’",2.942386497397557,2.9565893047205996,0.014202807323042688,0
13,"The miller thought to himself: ‘The wolf wants to deceive someone,’ and refused; but the wolf said: ‘If you will not do it, I will devour you.’",2.9634555234396216,2.981241270745985,0.017785747306363398,0
14,"Then the miller was afraid, and made his paws white for him.",3.1105438173621147,3.115072571075184,0.004528753713069378,0
15,"Truly, this is the way of mankind.",3.1439921818082293,3.1461080672248958,0.0021158854166665186,0
16,"So now the wretch went for the third time to the house-door, knocked at it and said: ‘Open the door for me, children, your dear little mother has come home, and has brought every one of you something back from the forest with her.’",2.9745612244604263,3.0301991729380298,0.055637948477603505,1
17,The little kids cried: ‘First show us your paws that we may know if you are our dear little mother.’,3.118818645408931,3.1430412483898973,0.024222602980966457,0
