,sentence,with_sentence,without_sentence,difference
0,"
1.",3.2271921006519344,3.234267874632713,0.007075773980778521
1,"HOW THEY WENT TO THE MOUNTAINS TO EAT NUTS

‘The nuts are quite ripe now,’ said Chanticleer to his wife Partlet,
‘suppose we go together to the mountains, and eat as many as we can,
before the squirrel takes them all away.’ ‘With all my heart,’ said
Partlet, ‘let us go and make a holiday of it together.’

So they went to the mountains; and as it was a lovely day, they stayed
there till the evening.",2.6886750120024443,2.64385884034567,-0.044816171656774095
2,"Now, whether it was that they had eaten so many
nuts that they could not walk, or whether they were lazy and would not,
I do not know: however, they took it into their heads that it did not
become them to go home on foot.",3.1247947043431785,3.2474205970005467,0.12262589265736823
3,"So Chanticleer began to build a little
carriage of nutshells: and when it was finished, Partlet jumped into
it and sat down, and bid Chanticleer harness himself to it and draw her
home.",3.151765538469146,3.233303099040744,0.081537560571598
4,"‘That’s a good joke!’ said Chanticleer; ‘no, that will never do;
I had rather by half walk home; I’ll sit on the box and be coachman,
if you like, but I’ll not draw.’ While this was passing, a duck came
quacking up and cried out, ‘You thieving vagabonds, what business have
you in my grounds?",2.828096493406792,2.946913879041727,0.11881738563493505
5,"I’ll give it you well for your insolence!’ and upon
that she fell upon Chanticleer most lustily.",3.165276031571089,3.1926817401033785,0.02740570853228963
6,"But Chanticleer was no
coward, and returned the duck’s blows with his sharp spurs so fiercely
that she soon began to cry out for mercy; which was only granted her
upon condition that she would draw the carriage home for them.",3.050982932639094,3.118235834655401,0.06725290201630729
7,"This she
agreed to do; and Chanticleer got upon the box, and drove, crying, ‘Now,
duck, get on as fast as you can.’ And away they went at a pretty good
pace.",3.103666429039386,3.1629221250685,0.05925569602911418
8,"After they had travelled along a little way, they met a needle and a pin
walking together along the road: and the needle cried out, ‘Stop, stop!’
and said it was so dark that they could hardly find their way, and such
dirty walking they could not get on at all: he told them that he and his
friend, the pin, had been at a public-house a few miles off, and had sat
drinking till they had forgotten how late it was; he begged therefore
that the travellers would be so kind as to give them a lift in their
carriage.",2.5547474883191184,2.8174400699396442,0.2626925816205259
9,"Chanticleer observing that they were but thin fellows, and not
likely to take up much room, told them they might ride, but made them
promise not to dirty the wheels of the carriage in getting in, nor to
tread on Partlet’s toes.",2.948847296623769,3.088714700912539,0.1398674042887702
10,"Late at night they arrived at an inn; and as it was bad travelling in
the dark, and the duck seemed much tired, and waddled about a good
deal from one side to the other, they made up their minds to fix their
quarters there: but the landlord at first was unwilling, and said his
house was full, thinking they might not be very respectable company:
however, they spoke civilly to him, and gave him the egg which Partlet
had laid by the way, and said they would give him the duck, who was in
the habit of laying one every day: so at last he let them come in, and
they bespoke a handsome supper, and spent the evening very jollily.",2.0069815192604143,2.6202659143480633,0.613284395087649
