,sentence,with_sentence,without_sentence,difference,label
0,"Bil je mož, ki je bil star kakor zemlja; oči so mu opešale in se solzile, ušesa so mu oglušela in kolena so se mu tresla.",0.2523821294307709,0.23402129113674164,-0.018360838294029236,1
1,"Ko je sedel pri jedi za mizo in komaj držal žlico v roki, se je juha zlivala na prt na mizi in tudi iz ust se mu je kaj pocedilo.",0.23402129113674164,0.45666730403900146,0.22264601290225983,1
2,Sinu in njegovi ženi se je to gnusilo.,0.25899824500083923,0.2210942953824997,-0.03790394961833954,1
3,"Zato sta nazadnje posadila deda v kot za peč, kjer sta mu dajala jesti iz lončene skledice, pa še to ne toliko, da bi se do sitega najedel.",0.12303393334150314,0.1859036684036255,0.06286973506212234,1
4,Tako je starček ves potrt gledal k mizi in solze so mu tekle iz oči.,0.13144518435001373,0.08836212009191513,-0.0430830642580986,1
5,Nekoč njegove tresoče se roke niso mogle obdržati sklede; padla mu je na tla in se razbila.,0.13977104425430298,0.12509097158908844,-0.014680072665214539,1
6,"Mlada žena ga je ozmerjala, on pa ni ničesar rekel in je samo zavzdihnil.",0.24007803201675415,0.3967787027359009,0.15670067071914673,1
7,Nato mu je za majhen denar kupila leseno skledico in iz nje je moral jesti.,0.3568059802055359,0.16921725869178772,-0.18758872151374817,1
8,"Ko so pa nekoč tako sedeli, je mali štiriletni vnuk začel sestavljati na tleh neke deščice.",0.14229920506477356,0.12298860400915146,-0.0193106010556221,1
9,»Kaj boš pa naredil?« ga je vprašal oče.,0.14641627669334412,0.16112464666366577,0.014708369970321655,1
10,"»Majhno koritce,« je odgovoril otrok.",0.16422681510448456,0.16089093685150146,-0.0033358782529830933,1
11,"»Iz njega bosta jedla mama in ata, ko bom jaz velik.« Tedaj sta se mož in žena za nekaj trenutkov spogledala, nato pa so jima privrele solze iz oči.",0.24431832134723663,0.20511987805366516,-0.03919844329357147,1
12,"Nemudoma sta prosila deda, naj sede k njima za mizo.",0.17087633907794952,0.19532527029514313,0.024448931217193604,1
