,sentence,with_sentence,without_sentence,difference,label
0,There was once a man who had a daughter who was called Clever Elsie.,3.867630924086973,3.9161661293611947,0.04853520527422184,1
1,"And
when she had grown up her father said: ‘We will get her married.’ ‘Yes,’
said the mother, ‘if only someone would come who would have her.’ At
length a man came from a distance and wooed her, who was called Hans;
but he stipulated that Clever Elsie should be really smart.",3.6183094347376628,3.9686440821583515,0.35033464742068876,1
2,"‘Oh,’ said
the father, ‘she has plenty of good sense’; and the mother said: ‘Oh,
she can see the wind coming up the street, and hear the flies coughing.’
‘Well,’ said Hans, ‘if she is not really smart, I won’t have her.’ When
they were sitting at dinner and had eaten, the mother said: ‘Elsie, go
into the cellar and fetch some beer.’ Then Clever Elsie took the pitcher
from the wall, went into the cellar, and tapped the lid briskly as she
went, so that the time might not appear long.",3.330925791409298,3.9869811773610206,0.6560553859517229,1
3,"When she was below she
fetched herself a chair, and set it before the barrel so that she had
no need to stoop, and did not hurt her back or do herself any unexpected
injury.",3.5905218804632866,3.8823327551354896,0.291810874672203,1
4,"Then she placed the can before her, and turned the tap, and
while the beer was running she would not let her eyes be idle, but
looked up at the wall, and after much peering here and there, saw a
pick-axe exactly above her, which the masons had accidentally left
there.",3.305047915869066,3.7070159211093032,0.40196800524023724,1
5,"Then Clever Elsie began to weep and said: ‘If I get Hans, and we have
a child, and he grows big, and we send him into the cellar here to draw
beer, then the pick-axe will fall on his head and kill him.’ Then she
sat and wept and screamed with all the strength of her body, over the
misfortune which lay before her.",3.071709889566622,3.5450580889315955,0.4733481993649735,1
6,"Those upstairs waited for the drink,
but Clever Elsie still did not come.",3.516701313986707,3.617501330019823,0.10080001603311572,1
7,"Then the woman said to the servant:
‘Just go down into the cellar and see where Elsie is.’ The maid went and
found her sitting in front of the barrel, screaming loudly.",3.1900333940618637,3.399602264590759,0.20956887052889517,1
8,"‘Elsie why
do you weep?’ asked the maid.",3.4169537303893547,3.485919983406377,0.06896625301702253,1
9,"‘Ah,’ she answered, ‘have I not reason to
weep?",3.3286774496278233,3.4280938181789016,0.09941636855107827,1
