,sentence,with_sentence,without_sentence,difference,label
0,"Nekoč reven je mlinar v kraljestvu živel, zelo lepo hčerko on je imel.",3.26975341796875,3.26232421875,-0.007429199218750071,0
1,"Zgodilo se je, da mu šlo je za preživetje, zato stopil je pred kralja in si skušal rešit življenje.",3.277257612179487,3.349801181891026,0.07254356971153886,0
2,"Rekel je kralju, pobahal se mu, “hči moja je predilja, iz slame sprede vam zlato.",3.2675210206287595,3.312373005407378,0.044851984778618625,1
3,"Kralju zasvetile so se oči “pripelji mi hčerko, tu ostane preko noči, da dokaže, če res vredno je znanje moje krvi.",3.228580021123004,3.2806099374913957,0.05202991636839194,0
4,"Dekle so privedli pred kralja in jo odpeljali v sobo precej polno slame, dali so ji kolovrat in vreteno in rekli “Loti se dela, če do jutra ne spredeš te slame v zlato, boš morala plačati s svojim življenjem.",3.059460217805835,3.1833044838566353,0.12384426605080012,1
5,Tako je sam kralj sobo zaklenil in pustil dekle v samoti.,3.327869592103108,3.3359742047372527,0.008104612634144637,0
6,"Uboga mlinarjeva hči ni vedela, kaj naj stori, ni vedela, kako se slamo lahko v zlato spremeni in vedno bolj jo je skrbelo, da ne bo več dočakala kaj dosti dni, tako ji je od vsega hudega po licu spolzela solzica.",3.1827936791104228,3.2766916098378327,0.09389793072740993,0
7,"In tako na lepem vrata se odpro in skoznje pristopical je mali možiček, postavil se pred njo: “Dober večer, mlinarjeva gospodična, zakaj jočete tako?”",3.309222386713332,3.331795997989988,0.022573611276655914,1
8,"“Vidiš” rekla je gospodična “spresti moram slamo v zlato in ne vem, kako.”",3.3464820053081095,3.35938263913833,0.012900633830220443,0
9,“Kaj mi daš” je rekel možic “če jaz to zate storil bi?”,3.370096276638775,3.3810816296458945,0.010985353007119336,0
10,“Dala bi ti svojo ogrlico” rekla je mlinarjeva hči.,3.402030769060819,3.407003639780056,0.004972870719237132,1
11,"Možic ogrlico je vzel, se posedel pred kolovrat in ga zavrtel, vroom, vroom, vroom, trije obrati in vreteno svetlikalo se je v barvi zlati, potem lotil se dela je spet, vroom, vroom, vroom, ga trikrat zavrtel in dosegel zlati lesk.",3.235485453989314,3.3220585439397,0.08657308995038626,0
12,"Vrtel ga je vse tja do jutra, dokler vse slame spredel ni in vsa vretena napolnil z zlatom, ki svetilo se je v jutranji temi.",3.389915574102237,3.4133975504127565,0.023481976310519403,0
13,"Ko vzšlo je sonce, je kralj že prišel in presenečeno zrl nad zlatom, ki ga je našel, njegovo pohlepno srce pa ni imelo dovolj.",3.4326355603276464,3.454791910253685,0.022156349926038654,0
14,"Mlinarjevo hči odpeljal je v drugo sobo polno slame, bilo je slame še veliko več in če ji je bilo kaj do življenja spet do jutra morala je kolovrat vrtet.",3.4344076352941797,3.4799499303691634,0.04554229507498375,0
15,"Dekle ni vedelo, kaj ji je storiti, zato je jokala in vrata so zopet se odprla z malim možicem med njimi “Kaj dala mi boš tokrat, da slamo spremenim v zlate niti?”",3.390432720341958,3.4650853685111054,0.07465264816914718,0
16,"“Prstan, ki se bohoti mi na prstu,” reklo je dekle.",3.5016907677063154,3.5237771813908947,0.02208641368457931,1
17,"Mali mož vzel je prstan in zavrtel je staro kolo, do jutra spremenil vso slamo je zopet v svetlikajoče se zlato.",3.4890325023054998,3.5090635501376313,0.0200310478321315,0
18,"Kralj navdušen nad obsegom zlata, še vedno ni zadovoljil željo svojega srca in zopet odpeljal je mlinarjevo hči v sobo kjer slame je bilo za tri noči: “Tudi to slamo v zlato čez noč spremeni, če uspe ti, pa takrat s tabo kralj se oženi.”",3.272338544605745,3.3676416144657706,0.09530306986002568,0
19,"Čeravno bila je le mlinarjeva hči, menil je, da je bogatejše nikoli ne dobi.",3.451618686455214,3.48130712452049,0.029688438065276213,0
20,"Ko ostala je sama, je možic spet prišel in rekel ji je:”Kaj daš mi, dekle, da bom kolovrat zavrtel?”",3.4218020044191917,3.4743517414659997,0.05254973704680799,0
21,"“Ničesar več nimam, kar dala bi ti,” odgovori dekle in zajoče v dlani.",3.451054665305399,3.498758655894886,0.047703990589487155,0
22,"“Potem pa mi obljubi, če postala boš kraljica, da prvorojenec bo moja pravica.”",3.487238440472147,3.5052608058763584,0.018022365404211538,1
23,"Mlinarjeva hči niti vedela ni, če res s kraljem se na koncu omoži, zato zavoljo lastnega življenja, obljubila je možicu pravico do otroka in odstopila pot mu do prvega vretena, tako spet slamo preko noči mali možic v zlato spremeni.",3.2657284594540457,3.3652322389810188,0.09950377952697309,0
24,"In ko tako se kralj vrnil je zjutraj in našel tisto, kar si želelo je njegovo srce, poročil je dekle in kraljico napravil iz nje.",3.4113319699677374,3.4391430960589573,0.02781112609121994,1
25,"Po letu dni se čudovit otrok ji rodi, pozabila je, kaj mali možic si želi.",3.4173688567876264,3.4484688506850483,0.031099993897421907,0
26,"In tako, kar iz nič je stopil pred njo: “Izpolni obljubo, ki si jo dala za zlato.”",3.380152808862766,3.4279632364091785,0.047810427546412626,0
27,"Kraljica se stresla je od silne groze, možicu ponudila bogastvo je in pol.",3.4003296772115665,3.435693486932011,0.035363809720444284,1
28,"Če le pustil bi otroka v njenem naročju, bi odnesel vse, kar v lasti kralj je imel.",3.3969707582595148,3.45340953829804,0.056438780038525316,0
29,A možic se ni dal: “Nekaj živega je vredno več kot bogastvo vsega sveta.”,3.447333332015435,3.4737268490746716,0.026393517059236427,0
30,"Kraljica je jokala in na kolenih prosila, smilila se je možicu, tako ga je ganila.",3.4213566085255316,3.4689859256595876,0.04762931713405605,0
31,"“Dam ti nič več kot tri dni časa,” je rekel možic “da moje ime v teh dneh ugotoviš, ako to ti do takrat ne uspe, otrok je moj in nikar ne trudi se.”",3.334155853228853,3.4165600365150075,0.08240418328615462,1
32,"Tako kraljica je razmišljala vso noč o imenih, kar jih je čula in trudila se na vso moč, poslala je sla preko širne dežele, da vrnil bi se z imenom, ki bilo bi njegovo.",3.4089449777587495,3.492259709901606,0.08331473214285667,0
33,"Ko prišel je dan in z njim mali možic,  naštevala je vse od Gašperja, Matjaža, Baltazarja do zadnjega kar jih pozna, a vsakemu sledil je odgovor: “Glej, imena mojega ona ne ve” in možic zadovoljno nasmihal se je.",3.404592543804632,3.509557692705989,0.104965148901357,0
34,"Drugi dan je imela seznam imen vseh čudnih sosednjih kraljevin, bolj bila so nenavadna, bolj verjetno se ji je zdelo, da pravi končno med njimi tiči.",3.418550185054537,3.4553264193775246,0.03677623432298782,0
35,"Tako možicu malemu je brala Malireberc, Ovčjerepec, Bolhonogec in odgovor, ki sledi ostajal je enak: “Ne, tako pa ime meni ni.”",3.3562817761197556,3.404070543150375,0.047788767030619184,0
36,"Tretji dan se vrnil je vdan vitez na konju in rekel ji je: “Imena vam novega žal ne prinašam, a ko sem se bližal visokim goram, ob koncu gozda zagledal sem konja, poleg pa ogenj in hišico malo, okoli ognja je plesal prav smešno majhen možic in pel si je pesem, nekako takole:",3.1609209763606847,3.316265761692589,0.15534478533190432,0
37,"Danes bom pekel, jutri varil,naslednji dan kraljevega otroka dobil,oh, kako v zadovoljstvo mi je,ko nihče ne ve, da mi Špicparkeljc je ime.”",3.24975284529321,3.3489715042428227,0.09921865894961268,1
38,"Lahko si le mislite kako vesela bila je kraljica ob imenu novem, ki ga slišala je.",3.3587369830520064,3.3711454603407116,0.0124084772887052,0
39,"In kmalu mali možic pojavi se v sobi in zopet jo vpraša: “Draga kraljica, kako mi je ime?”",3.6615510935209046,3.6870426958014653,0.025491602280560688,0
40,Sprva mu reče “Je Cene tvoje ime?”,3.660499761672247,3.655565476190476,-0.004934285481771106,0
41,“Ne.”,3.731404870637849,3.726412364848413,-0.004992505789435775,0
42,“Mogoče si Jani?”,3.708917941842027,3.6992898100165923,-0.00962813182543476,0
43,“Ne.”,3.4124201551695363,3.4069041245119953,-0.005516030657541027,0
44,“Mogoče pa je tvoje ime Špicparkeljc?”,3.4743140273623996,3.4752068166379573,0.0008927892755576927,1
45,“To ti povedal sam je hudič!“,3.551352944484977,3.551239490509033,-0.00011345397594375584,0
46,"Zajokal mali je možic in v svojem besu z desno nogo ob tla udaril tako močno, da potegnilo mu nogo je v zemljo.",3.5350806536221087,3.55869843294628,0.023617779324171195,0
47,"Ko jo je hotel izvleči, se razklal je na pol in končal coprnijo, otrok zdaj nikoli ne bo njegov.",5.570703055641868,5.548300205577504,-0.022402850064364266,1
