,label,sentence
0,1,"Imel je človek osla, ki je že leta in leta potrpežljivo vlačil vreče žita v mlin."
1,1,"A moči so mu začele pešati, tako da je bil čedalje manj sposoben za delo."
2,1,"In je prišlo gospodarju na misel, da bi ga nehal hraniti."
3,1,"Osel pa je zaduhal, da piha slab veter, pobegnil je in se odpravil v mesto Bremen."
4,1,"Upal je, da bo tam lahko dobil službo mestnega godca."
5,1,"Ko je nekaj časa tako koračil, je naletel na lovskega psa, ki je ležal na poti in sopel, kakor kdo, ki se je do smrti utrudil od tekanja."
6,1,"»Kaj pa tako sopeš, Grabavs?« ga vpraša osel."
7,1,"»Oh,« odvrne pes."
8,1,"»Star sem in vsak dan slabši, niti za lov nisem več."
9,1,"Ker me je gospodar hotel ubiti, sem jo ucvrl, zdaj pa ne vem, kako naj si zaslužim skorjico kruha?« »Veš kaj?« mu odvrne osel."
10,1,"»Jaz sem namenjen v Bremen, da postanem tam mestni godec."
11,1,"Jaz bom igral lutnjo, ti bi pa udarjal na boben.« Pes je bil zadovoljen in je šel z njim."
12,1,"Ni dolgo trajalo, kar sta srečala mačko, ki je čepela na poti in se nadvse kislo in čemerno držala."
13,1,"»Kaj pa ti gre tako narobe, Čohačka stara?« jo je vprašal osel."
14,1,"»Joj, joj, kdo pa bi bil vesel, če se mu grlo stiska?« je rekla mačka."
15,1,"»Ker sem prišla v leta in so se mi zobje skrhali ter rajši za pečjo sedim in predem, kakor pa bi lovila miši, me je hotela gospodinja utopiti."
16,1,"Jaz sem se ji sicer iztrgala, a zdaj mi je potreben dober svet: kam naj grem?« 

»Pojdi z nama v Bremen."
17,1,"Saj si mojster v nočni muziki tam lahko postaneš mestni godec.« Mački se je zdelo to pametno, pa je šla z njima."
18,1,"Nato so begunci prišli mimo nekega dvorišča; pred vrati je stal domači petelin in na vse pretege »Kaj pa se dereš, da reže v mozeg in v kosti?« mu je rekel osel."
19,1,"»Kaj hočeš s tem?« »Prerokoval sem lepo vreme,« je dejal petelin, »ker je jutri praznik in se mora perilo posušiti."
20,1,"Ker pa pridejo jutri gostje, nima gospodinja usmiljenja z menoj in je naročila kuharici, da me bo jutri v juhi pojedla in zato si moram že danes dati odrezati glavo."
21,1,"Zdaj se derem na vse grlo, dokler se še lahko.« »Eh, kaj, Rdečeglavček,« mu reče osel, »pojdi rajši z nami!"
22,1,"V Bremen smo namenjeni, kaj boljšega kakor smrt povsod lahko najdeš."
